,Systematic name,RNA pol II  presence (per gene),TR indirect (mol/hour),TR (mol/hour)
5172,YNL133C,0.0193,,3.336
5173,YNL134C,0.1079,12.636000000000001,8.598
5174,YNL135C,0.0653,72.86399999999999,17.076
5175,YNL136W,0.1415,3.0,9.978
5176,YNL137C,0.1067,22.584,6.5760000000000005
5177,YNL138W,0.2009,6.402,11.442
5178,YNL138W-A,,,
5179,YNL139C,,,
5180,YNL140C,0.0685,,10.83
5181,YNL141W,0.1031,13.097999999999999,8.898
5182,YNL142W,0.1125,0.774,6.756
5183,YNL143C,0.0266,0.15,6.102
5184,YNL144C,0.083,1.134,3.3659999999999997
5185,YNL144W-A,,,
5186,YNL145W,0.1076,34.925999999999995,83.46000000000001
5187,YNL146C-A,,,
5188,YNL146W,,0.108,
5189,YNL147W,0.0362,,7.362
5190,YNL148C,0.1124,2.4059999999999997,13.242
5191,YNL149C,0.1652,,38.22
5192,YNL150W,0.1067,,23.592
5193,YNL151C,0.0535,5.076,6.378
5194,YNL152W,0.1257,1.542,9.204
5195,YNL153C,0.0626,18.18,14.472
5196,YNL154C,0.2342,13.368,12.852
5197,YNL155W,0.0837,11.364,9.138
5198,YNL156C,0.0853,7.176,8.538
5199,YNL157W,0.0758,,13.488
5200,YNL158W,0.0383,0.864,5.778
5201,YNL159C,0.0542,1.194,5.6160000000000005
5202,YNL160W,0.099,7.715999999999999,8.376
5203,YNL161W,0.2027,4.56,8.033999999999999
5204,YNL162W,0.4914,42.785999999999994,53.160000000000004
5205,YNL162W-A,,,
5206,YNL163C,0.3647,2.4539999999999997,9.852
5207,YNL164C,0.102,,8.7
5208,YNL165W,0.2621,,19.332
5209,YNL166C,0.1378,5.279999999999999,9.216
5210,YNL167C,0.146,4.4399999999999995,6.762
5211,YNL168C,0.0798,8.922,9.222
5212,YNL169C,0.0341,,2.04
5213,YNL170W,0.0205,,4.662
5214,YNL171C,0.0191,,4.662
5215,YNL172W,,,
5216,YNL173C,0.0662,,5.418
5217,YNL174W,0.0372,,5.8500000000000005
5218,YNL175C,0.0144,,1.0739999999999998
5219,YNL176C,0.1244,,5.862
5220,YNL177C,0.0875,6.774,8.472
5221,YNL178W,0.2191,,27.306
5222,YNL179C,0.0302,,6.216
5223,YNL180C,0.1294,,11.700000000000001
5224,YNL181W,0.0604,,4.4399999999999995
5225,YNL182C,,,
5226,YNL183C,0.0796,5.37,3.018
5227,YNL184C,0.0255,,7.056
5228,YNL185C,0.0441,,8.334
5229,YNL186W,0.4511,6.0600000000000005,17.07
5230,YNL187W,0.1179,,9.888
5231,YNL188W,0.0988,,6.834
5232,YNL189W,0.1396,3.8519999999999994,7.715999999999999
5233,YNL190W,0.245,13.134,35.910000000000004
5234,YNL191W,0.0866,,7.266
5235,YNL192W,0.2603,16.146,6.9
5236,YNL193W,0.0658,,3.5340000000000003
5237,YNL194C,0.0219,,2.172
5238,YNL195C,0.0168,,1.932
5239,YNL196C,0.0323,,3.2399999999999998
5240,YNL197C,0.2988,3.8220000000000005,13.548
5241,YNL198C,,,
5242,YNL199C,0.1322,14.004,7.416
5243,YNL200C,0.023,7.212,2.7960000000000003
5244,YNL201C,0.2524,3.6119999999999997,8.82
5245,YNL202W,0.0291,,2.982
5246,YNL203C,0.0165,0.162,2.436
5247,YNL204C,0.0301,,3.0
5248,YNL205C,0.0156,,3.324
5249,YNL206C,0.0489,2.6999999999999997,3.222
5250,YNL207W,0.0826,,5.82
5251,YNL208W,0.1991,12.852,29.91
5252,YNL209W,0.8973,22.524,43.866
5253,YNL210W,0.0464,,5.148
5254,YNL211C,,1.0139999999999998,
5255,YNL212W,0.1233,8.838,4.728
5256,YNL213C,0.0619,,8.652
5257,YNL214W,0.0288,1.44,4.326
5258,YNL215W,0.1176,10.661999999999999,10.998
5259,YNL216W,0.3215,,11.652000000000001
5260,YNL217W,0.1267,35.339999999999996,11.64
5261,YNL218W,,,
5262,YNL219C,0.0556,7.308000000000001,3.0
5263,YNL220W,0.0891,,6.162
5264,YNL221C,0.3632,3.084,12.444
5265,YNL222W,0.0552,,8.016
5266,YNL223W,0.0857,,5.196
5267,YNL224C,0.1893,,7.398000000000001
5268,YNL225C,0.1103,,5.688
5269,YNL226W,0.0232,,5.1000000000000005
5270,YNL227C,0.1148,,5.832
5271,YNL228W,0.0435,,5.045999999999999
5272,YNL229C,0.1371,2.3160000000000003,11.598
5273,YNL230C,,0.8999999999999999,
5274,YNL231C,0.2583,23.886,22.038
5275,YNL232W,0.1151,18.636,11.796
5276,YNL233W,,2.484,
5277,YNL234W,0.0862,,6.0600000000000005
5278,YNL235C,0.0365,,7.614000000000001
5279,YNL236W,,,
5280,YNL237W,0.0784,0.102,5.112
5281,YNL238W,0.3515,7.128,12.942
5282,YNL239W,0.0787,3.606,5.196
5283,YNL240C,0.1716,9.168,10.469999999999999
5284,YNL241C,0.1256,16.494,7.452
5285,YNL242W,,0.138,
5286,YNL243W,0.3304,5.784,10.23
5287,YNL244C,0.0809,56.13,22.338
5288,YNL245C,,,
5289,YNL246W,0.1138,,11.526
5290,YNL247W,0.2035,14.946,7.95
5291,YNL248C,,20.003999999999998,
5292,YNL249C,0.0906,,5.010000000000001
5293,YNL250W,,,
5294,YNL251C,0.4337,,22.602
5295,YNL252C,0.1053,7.572,11.214
5296,YNL253W,,1.9559999999999997,
5297,YNL254C,0.0714,2.2560000000000002,5.3340000000000005
5298,YNL255C,0.1518,184.842,29.628
5299,YNL256W,0.2398,62.784,8.724
5300,YNL257C,0.1383,3.066,3.372
5301,YNL258C,0.1894,9.906,7.53
5302,YNL259C,,9.953999999999999,
5303,YNL260C,,,
5304,YNL261W,,4.194,
5305,YNL262W,0.2737,,3.696
5306,YNL263C,0.0404,15.887999999999998,3.8519999999999994
5307,YNL264C,0.0721,7.8420000000000005,6.168
5308,YNL265C,0.0784,,7.05
5309,YNL266W,0.0301,,6.468
5310,YNL267W,0.4966,,13.968
5311,YNL268W,0.6209,15.497999999999998,30.449999999999996
5312,YNL269W,,0.09,
5313,YNL270C,0.0338,0.18,1.764
5314,YNL271C,0.9222,,14.16
5315,YNL272C,0.1493,1.9680000000000002,5.898
5316,YNL273W,0.0878,0.486,2.13
5317,YNL274C,0.0408,1.506,3.492
5318,YNL275W,0.0564,,2.934
5319,YNL276C,0.0376,,8.562
5320,YNL277W,0.1874,,11.55
5321,YNL277W-A,,,
5322,YNL278W,0.3493,0.288,9.882000000000001
5323,YNL279W,,,
5324,YNL280C,0.1061,14.442,7.254
5325,YNL281W,,6.3,
5326,YNL282W,0.129,2.424,19.776
5327,YNL283C,,19.968,
5328,YNL284C,0.0627,8.472,5.8260000000000005
5329,YNL285W,,,
5330,YNL286W,0.0411,,4.319999999999999
5331,YNL287W,0.1883,11.22,6.036
5332,YNL288W,0.1661,4.92,13.338
5333,YNL289W,0.0279,,3.0
5334,YNL290W,0.1303,10.362,11.472000000000001
5335,YNL291C,0.0563,4.314,3.078
5336,YNL292W,0.1358,11.598,10.091999999999999
5337,YNL293W,0.1172,1.83,5.55
5338,YNL294C,,7.943999999999999,
5339,YNL295W,0.2322,1.482,13.278
5340,YNL296W,,,
5341,YNL297C,,3.336,
5342,YNL298W,0.2283,2.9459999999999997,8.13
5343,YNL299W,0.1521,0.858,7.104
5344,YNL300W,0.0187,8.363999999999999,5.478000000000001
5345,YNL301C,0.4475,,40.596
5346,YNL302C,0.3114,,28.452
5347,YNL303W,,92.196,
5348,YNL304W,0.0565,,4.055999999999999
5349,YNL305C,0.0523,,5.268
5350,YNL306W,0.049,,6.75
5351,YNL307C,,9.834,
5352,YNL308C,0.273,7.83,13.841999999999999
5353,YNL309W,,,
5354,YNL310C,0.0335,6.636,5.747999999999999
5355,YNL311C,,1.6199999999999999,
5356,YNL312W,0.038,8.34,3.678
5357,YNL313C,0.1883,,6.2459999999999996
5358,YNL314W,0.0219,,2.574
5359,YNL315C,0.1008,12.78,9.492
5360,YNL316C,0.0708,,6.348000000000001
5361,YNL317W,,,
5362,YNL318C,,,
5363,YNL319W,,,
5364,YNL320W,0.0309,,3.258
5365,YNL321W,,2.4539999999999997,
5366,YNL322C,0.1604,11.67,15.341999999999999
5367,YNL323W,,3.318,
5368,YNL324W,,,
5369,YNL325C,0.1041,,3.552
5370,YNL326C,0.0556,3.618,4.956
5371,YNL327W,2.9782,15.654000000000002,85.77
5372,YNL328C,0.0445,,9.096
5373,YNL329C,0.3954,5.844,11.508
5374,YNL330C,,7.104,
5375,YNL331C,,,
5376,YNL332W,0.0064,,0.5640000000000001
5377,YNL333W,,,
5378,YNL334C,0.0161,,2.172
5379,YNL335W,0.017,,2.262
5380,YNL336W,,,
5381,YNL337W,,,
5382,YNL338W,,,
5383,YNL339C,,,
5384,YNL339W-A,,,
5385,YNL339W-B,,,
5386,YNR001C,,5.6339999999999995,
5387,YNR001W-A,,,
5388,YNR002C,0.0401,0.642,4.26
5389,YNR003C,,,
5390,YNR003W-A,,,
5391,YNR004W,0.0164,0.44999999999999996,3.36
5392,YNR005C,0.0232,,5.159999999999999
5393,YNR006W,0.1559,2.436,7.5120000000000005
5394,YNR007C,0.0599,1.2899999999999998,5.784
5395,YNR008W,0.1006,1.494,4.56
5396,YNR009W,0.0614,4.992,7.38
5397,YNR010W,0.0681,1.284,13.656
5398,YNR011C,0.1371,5.946,4.692
5399,YNR012W,0.0767,,4.59
5400,YNR013C,0.1661,,5.568
5401,YNR014W,0.0474,1.698,6.69
5402,YNR015W,0.0985,3.354,7.68
5403,YNR016C,1.8023,14.304,24.204
5404,YNR017W,,18.852,
5405,YNR018W,0.1476,7.794,19.71
5406,YNR019W,0.2234,0.276,10.428
5407,YNR020C,0.0498,0.44999999999999996,5.52
5408,YNR021W,0.0869,14.436,6.444
5409,YNR022C,0.0611,10.344,13.128
5410,YNR023W,0.1862,,9.858
5411,YNR024W,0.0631,,10.152
5412,YNR025C,0.0276,,6.930000000000001
5413,YNR026C,0.1537,3.246,9.780000000000001
5414,YNR027W,0.0955,,9.017999999999999
5415,YNR028W,0.0401,,3.9000000000000004
5416,YNR029C,0.095,,6.636
5417,YNR030W,0.0285,9.786,1.548
5418,YNR031C,0.4145,3.312,7.872000000000001
5419,YNR032C-A,,,
5420,YNR032W,0.0741,7.085999999999999,6.03
5421,YNR033W,,2.04,
5422,YNR034W,0.0841,2.076,7.8420000000000005
5423,YNR034W-A,,,
5424,YNR035C,0.1052,14.1,9.216
5425,YNR036C,0.1424,20.718,27.804
5426,YNR037C,0.0494,12.978,16.152
5427,YNR038W,,,
5428,YNR039C,0.0956,4.386,4.734
5429,YNR040W,,,
5430,YNR041C,0.0973,,7.83
5431,YNR042W,0.0541,,11.382
5432,YNR043W,0.1425,17.669999999999998,10.776
5433,YNR044W,0.1961,1.9559999999999997,8.106
5434,YNR045W,0.0391,4.35,2.3939999999999997
5435,YNR046W,0.0557,23.004,12.312
5436,YNR047W,0.2316,,7.776
5437,YNR048W,0.0833,1.602,6.348000000000001
5438,YNR049C,0.0518,4.488,7.374
5439,YNR050C,0.0894,3.966,6.005999999999999
5440,YNR051C,0.0715,10.362,4.158
5441,YNR052C,0.1355,16.944,9.372
5442,YNR053C,0.8011,6.132,36.21
5443,YNR054C,0.1475,8.736,13.968
5444,YNR055C,0.2358,4.4399999999999995,12.054
5445,YNR056C,0.0663,0.084,3.54
5446,YNR057C,0.0245,,3.096
5447,YNR058W,0.0853,0.324,5.328
5448,YNR059W,0.1381,2.976,7.134
5449,YNR060W,0.0738,0.774,3.078
5450,YNR061C,0.0247,10.998,3.3659999999999997
5451,YNR062C,0.0456,0.51,4.176
5452,YNR063W,0.0908,0.354,4.482
5453,YNR064C,0.0396,,4.092
5454,YNR065C,0.1149,1.0139999999999998,3.09
5455,YNR066C,,,
5456,YNR067C,1.2148,12.654,32.604
5457,YNR068C,0.0318,0.504,3.4979999999999998
5458,YNR069C,0.0916,,5.61
5459,YNR070W,,0.99,
5460,YNR071C,,0.288,
5461,YNR072W,0.0236,0.084,1.254
5462,YNR073C,0.2248,,13.416
5463,YNR074C,,1.716,
5464,YNR075C-A,,,
5465,YNR075W,,0.384,
5466,YNR076W,0.0052,,1.296
5467,YNR077C,,,
5468,YOL001W,0.0402,1.146,4.11
5469,YOL002C,0.1416,,13.373999999999999
5470,YOL003C,,3.1199999999999997,
5471,YOL004W,,2.664,
5472,YOL005C,0.0914,17.25,22.728
5473,YOL006C,0.3018,4.2780000000000005,11.766
5474,YOL007C,0.1553,4.2540000000000004,13.632000000000001
5475,YOL008W,,,
5476,YOL009C,0.0319,2.826,3.5220000000000002
5477,YOL010W,0.2899,4.2780000000000005,23.652
5478,YOL011W,0.2452,,10.709999999999999
5479,YOL012C,0.0694,35.358000000000004,15.450000000000001
5480,YOL013C,0.0956,2.298,5.202
5481,YOL013W-A,,,
5482,YOL013W-B,,,
5483,YOL014W,,40.254000000000005,
5484,YOL015W,0.0398,0.32999999999999996,2.034
5485,YOL016C,,15.966000000000001,
5486,YOL017W,,,
5487,YOL018C,0.0832,,6.276
5488,YOL019W,0.1296,,7.05
5489,YOL019W-A,,,
5490,YOL020W,0.4633,,23.454
5491,YOL021C,0.4491,22.674,13.452
5492,YOL022C,0.0854,8.91,6.27
5493,YOL023W,,1.3559999999999999,
5494,YOL024W,,0.24600000000000002,
5495,YOL025W,0.0636,1.1159999999999999,2.892
5496,YOL026C,,4.992,
5497,YOL027C,0.1734,14.238000000000001,9.066
5498,YOL028C,0.082,,10.020000000000001
5499,YOL029C,0.0817,4.787999999999999,12.15
5500,YOL030W,0.0874,6.726,5.406
5501,YOL031C,0.0767,,5.46
5502,YOL032W,,,
5503,YOL033W,0.1029,0.762,5.754
5504,YOL034W,0.1672,,4.59
5505,YOL035C,0.0514,,15.306
5506,YOL036W,0.5463,,21.516
5507,YOL037C,0.0421,,10.728
5508,YOL038C-A,,,
5509,YOL038W,0.208,27.528,24.498
5510,YOL039W,0.0696,32.34,19.572
5511,YOL040C,,122.862,
5512,YOL041C,0.0132,8.100000000000001,0.864
5513,YOL042W,0.0845,,6.9719999999999995
5514,YOL043C,0.1369,,10.794
5515,YOL044W,0.0886,,6.930000000000001
5516,YOL045W,0.1886,3.234,5.136
5517,YOL046C,0.0301,,4.0200000000000005
5518,YOL047C,,0.38999999999999996,
5519,YOL048C,,2.778,
5520,YOL049W,0.1112,14.34,6.7860000000000005
5521,YOL050C,0.0297,,8.363999999999999
5522,YOL051W,0.5969,,16.554
5523,YOL052C,0.1946,9.216,14.718
5524,YOL052C-A,,,
5525,YOL053W,0.0776,1.17,5.886
5526,YOL054W,0.1041,5.274,7.68
5527,YOL055C,0.0652,,3.546
5528,YOL056W,0.0754,4.518000000000001,7.446
5529,YOL057W,,8.028,
5530,YOL058W,0.0571,6.198,4.074
5531,YOL059W,0.8537,36.504000000000005,58.116
5532,YOL060C,0.1334,5.130000000000001,5.664
5533,YOL061W,0.1753,14.154,10.584
5534,YOL062C,0.1783,9.168,10.884
5535,YOL063C,0.2377,3.7620000000000005,7.446
5536,YOL064C,0.1943,12.798,16.296
5537,YOL065C,0.0633,3.3659999999999997,4.938
5538,YOL066C,0.1561,2.244,7.914
5539,YOL067C,0.1026,,17.322
5540,YOL068C,0.2912,,17.346
5541,YOL069W,0.092,,6.114
5542,YOL070C,0.0916,7.248,5.478000000000001
5543,YOL071W,,2.262,
5544,YOL072W,0.0903,2.952,5.946
5545,YOL073C,0.048,0.648,4.4639999999999995
5546,YOL075C,0.186,0.7140000000000001,4.308
5547,YOL076W,0.1114,2.67,4.194
5548,YOL077C,,38.184,
5549,YOL077W-A,,,
5550,YOL078W,,0.8099999999999999,
5551,YOL079W,0.0231,,5.226
5552,YOL080C,0.0532,2.286,5.513999999999999
5553,YOL081W,0.5439,6.239999999999999,5.298
5554,YOL082W,0.1002,3.114,7.236
5555,YOL083C-A,,,
5556,YOL083W,0.015,0.36600000000000005,1.092
5557,YOL084W,0.0592,0.114,1.794
5558,YOL085C,,,
5559,YOL085W-A,,,
5560,YOL086C,0.9328,,80.262
5561,YOL086W-A,,,
5562,YOL087C,0.2871,1.8599999999999999,7.715999999999999
5563,YOL088C,0.0451,6.504,4.872
5564,YOL089C,0.1533,3.6119999999999997,4.4639999999999995
5565,YOL090W,0.1731,2.79,5.382
5566,YOL091W,0.0479,,2.358
5567,YOL092W,0.0385,8.682,3.7439999999999998
5568,YOL093W,0.1433,,14.64
5569,YOL094C,0.0647,2.298,5.994
5570,YOL095C,0.0612,0.63,2.598
5571,YOL096C,0.0558,1.4040000000000001,5.352
5572,YOL097C,0.226,24.336000000000002,15.671999999999999
5573,YOL097W-A,,,
5574,YOL098C,,5.2620000000000005,
5575,YOL099C,,,
5576,YOL100W,0.2946,,8.171999999999999
5577,YOL101C,0.0379,0.49200000000000005,3.636
5578,YOL102C,0.02,2.172,2.598
5579,YOL103W,0.1417,8.964,6.9719999999999995
5580,YOL104C,0.1428,0.432,12.15
5581,YOL105C,0.1492,0.828,8.046
5582,YOL106W,,,
5583,YOL107W,0.0702,,6.144
5584,YOL108C,0.0547,1.9500000000000002,10.824
5585,YOL109W,0.9028,250.39199999999997,238.29
5586,YOL110W,0.0534,1.344,6.7379999999999995
5587,YOL111C,0.0601,,8.472
5588,YOL112W,0.104,,6.336
5589,YOL113W,0.1016,2.6220000000000003,4.65
5590,YOL114C,0.0368,,5.442
5591,YOL115W,0.173,,8.874
5592,YOL116W,0.1333,1.278,10.452
5593,YOL117W,0.0468,,2.172
5594,YOL118C,,0.048,
5595,YOL119C,0.0749,,4.482
5596,YOL120C,0.7495,,66.99000000000001
5597,YOL121C,,,
5598,YOL122C,0.067,6.174,3.492
5599,YOL123W,0.4689,10.091999999999999,26.31
5600,YOL124C,0.0871,17.573999999999998,6.024
5601,YOL125W,0.133,6.87,8.370000000000001
5602,YOL126C,0.6589,26.178,52.338
5603,YOL127W,0.5402,,57.738
5604,YOL128C,0.0835,,6.666
5605,YOL129W,0.039,14.664,6.33
5606,YOL130W,0.4696,13.536,16.386
5607,YOL131W,,0.09,
5608,YOL132W,,,
5609,YOL133W,0.034,1.386,8.376
5610,YOL134C,0.0266,0.048,6.144
5611,YOL135C,0.0498,,6.714
5612,YOL136C,0.1503,,11.34
5613,YOL137W,0.0594,,3.5820000000000003
5614,YOL138C,0.3575,,7.992000000000001
5615,YOL139C,0.1205,41.988,16.913999999999998
5616,YOL140W,,1.062,
5617,YOL141W,0.1036,,4.47
5618,YOL142W,0.0667,4.2540000000000004,8.316
5619,YOL143C,0.0867,,15.33
5620,YOL144W,0.1235,,7.644000000000001
5621,YOL145C,0.4724,8.363999999999999,13.152000000000001
5622,YOL146W,0.0344,,5.298
5623,YOL147C,0.0281,,3.564
5624,YOL148C,0.1392,8.406,6.906
5625,YOL149W,0.0563,,7.284
5626,YOL150C,,,
5627,YOL151W,0.0848,,7.428
5628,YOL152W,0.184,,8.892
5629,YOL154W,0.0367,0.912,4.41
5630,YOL155C,2.1129,,65.502
5631,YOL155W-A,,,
5632,YOL156W,0.0244,,1.2899999999999998
5633,YOL157C,0.0731,,3.7199999999999998
5634,YOL158C,,20.526,
5635,YOL159C,0.0285,,4.98
5636,YOL159C-A,,,
5637,YOL160W,,0.30600000000000005,
5638,YOL161C,0.006,,1.488
5639,YOL162W,,0.036,
5640,YOL163W,,,
5641,YOL164W,0.1755,,8.142
5642,YOL164W-A,,,
5643,YOL165C,0.0255,,5.316
5644,YOL166C,,,
5645,YOL166W-A,,,
5646,YOR001W,0.1995,11.586,8.154
5647,YOR002W,0.0954,16.038,5.256
5648,YOR003W,0.0338,0.888,2.118
5649,YOR004W,,,
5650,YOR005C,0.0868,,2.76
5651,YOR006C,0.1719,7.41,16.44
5652,YOR007C,0.8957,,77.51400000000001
5653,YOR008C,0.1695,3.606,13.428
5654,YOR008C-A,,0.084,
5655,YOR008W-B,,,
5656,YOR009W,0.0161,,0.99
5657,YOR010C,,0.44999999999999996,
5658,YOR011W,0.0727,0.108,1.566
5659,YOR011W-A,,,
5660,YOR012W,0.036,,7.8420000000000005
5661,YOR013W,,,
5662,YOR014W,0.1414,,5.598
5663,YOR015W,0.0239,10.884,5.982
5664,YOR016C,0.0175,,2.52
5665,YOR017W,0.1184,,4.433999999999999
5666,YOR018W,,0.858,
5667,YOR019W,0.0987,0.828,4.055999999999999
5668,YOR020C,0.1784,27.75,50.184000000000005
5669,YOR020W-A,,,
5670,YOR021C,0.0597,15.348000000000003,8.382
5671,YOR022C,0.0775,0.786,3.252
5672,YOR023C,0.1726,3.4379999999999997,9.138
5673,YOR024W,,,
5674,YOR025W,0.1399,1.602,9.378
5675,YOR026W,0.2042,10.146,17.934
5676,YOR027W,1.1569,,58.86
5677,YOR028C,0.0263,,2.67
5678,YOR029W,,0.084,
5679,YOR030W,0.1039,,5.034
5680,YOR031W,,1.788,
5681,YOR032C,0.0358,,2.472
5682,YOR032W-A,,,
5683,YOR033C,0.1566,,6.684
5684,YOR034C,0.1128,0.5579999999999999,4.5120000000000005
5685,YOR034C-A,,,
5686,YOR035C,0.1407,,5.346
5687,YOR036W,0.0995,,10.338000000000001
5688,YOR037W,0.0943,,7.71
5689,YOR038C,0.14,2.61,4.8
5690,YOR039W,0.0756,12.389999999999999,8.772
5691,YOR040W,0.31,3.84,32.55
5692,YOR041C,0.0341,,7.128
5693,YOR042W,0.2053,7.524000000000001,14.964
5694,YOR043W,0.2835,4.8,17.472
5695,YOR044W,0.0324,0.96,6.162
5696,YOR045W,,110.52000000000001,
5697,YOR046C,0.1879,23.657999999999998,11.676
5698,YOR047C,0.1264,5.034,8.526
5699,YOR048C,0.3774,5.316,11.244
5700,YOR049C,0.0952,1.518,8.052000000000001
5701,YOR050C,0.0419,0.078,10.866000000000001
5702,YOR051C,0.1262,4.104,9.174000000000001
5703,YOR052C,0.246,1.83,48.978
5704,YOR053W,,,
5705,YOR054C,0.149,,6.624
5706,YOR055W,0.0313,,6.497999999999999
5707,YOR056C,0.2199,21.972,14.352
5708,YOR057W,0.0668,4.596,5.064
5709,YOR058C,0.1719,1.5959999999999999,5.82
5710,YOR059C,0.1753,2.97,11.67
5711,YOR060C,,1.284,
5712,YOR061W,0.1732,2.352,15.3
5713,YOR062C,0.0414,5.544,4.62
5714,YOR063W,,670.956,
5715,YOR064C,0.0468,2.898,6.39
5716,YOR065W,0.0627,3.7620000000000005,6.072
5717,YOR066W,0.1749,2.136,8.334
5718,YOR067C,0.053,14.484,2.754
5719,YOR068C,0.0141,,3.684
5720,YOR069W,0.1984,,8.808000000000002
5721,YOR070C,,2.214,
5722,YOR071C,0.0754,,3.7800000000000002
5723,YOR072W,,,
5724,YOR072W-A,,,
5725,YOR072W-B,,,
5726,YOR073W,0.1068,,5.4239999999999995
5727,YOR073W-A,,,
5728,YOR074C,0.0199,11.76,1.9559999999999997
5729,YOR075W,0.1157,,10.014
5730,YOR076C,0.0593,1.6199999999999999,2.3760000000000003
5731,YOR077W,0.039,,5.028
5732,YOR078W,0.1991,36.93,27.822
5733,YOR079C,0.0435,4.4639999999999995,4.158
5734,YOR080W,0.0788,3.0420000000000003,3.168
5735,YOR081C,,5.028,
5736,YOR082C,,,
5737,YOR083W,0.1821,0.132,18.48
5738,YOR084W,0.1396,1.098,10.806000000000001
5739,YOR085W,0.1089,7.29,9.318
5740,YOR086C,0.2244,4.938,5.67
5741,YOR087W,0.1299,2.556,5.766
5742,YOR089C,0.1452,19.464000000000002,20.676000000000002
5743,YOR090C,0.1103,3.834,5.778
5744,YOR091W,0.2447,10.224,21.233999999999998
5745,YOR092W,0.1392,4.055999999999999,6.804
5746,YOR093C,,,
5747,YOR094W,,9.623999999999999,
5748,YOR095C,0.1066,7.368,12.366
5749,YOR096W,0.3924,131.78400000000002,36.294
5750,YOR097C,,6.018,
5751,YOR098C,0.6295,4.116,17.538
5752,YOR099W,0.1721,5.3340000000000005,13.11
5753,YOR100C,0.0351,0.49200000000000005,3.216
5754,YOR101W,0.1337,2.3160000000000003,12.954
5755,YOR102W,,,
5756,YOR103C,0.0236,,5.418
5757,YOR104W,0.0413,,4.386
5758,YOR105W,,,
5759,YOR106W,0.071,,7.505999999999999
5760,YOR107W,0.092,,8.91
5761,YOR108C-A,,,
5762,YOR108W,0.2153,,10.68
5763,YOR109W,0.3063,3.642,8.298
5764,YOR110W,0.0417,,2.8739999999999997
5765,YOR111W,,1.494,
5766,YOR112W,0.1338,1.488,5.268
5767,YOR113W,,1.146,
5768,YOR114W,,2.9459999999999997,
5769,YOR115C,0.0366,,4.085999999999999
5770,YOR116C,0.5026,,10.319999999999999
5771,YOR117W,0.1814,24.924,12.522
5772,YOR118W,0.1345,2.3160000000000003,7.109999999999999
5773,YOR119C,0.1447,1.5899999999999999,8.952
5774,YOR120W,0.0378,,3.624
5775,YOR121C,,,
5776,YOR122C,0.159,132.198,24.3
5777,YOR123C,0.2479,5.256,16.002
5778,YOR124C,0.2644,3.84,6.234
5779,YOR125C,0.0411,2.9280000000000004,5.274
5780,YOR126C,0.0348,3.084,4.3740000000000006
5781,YOR127W,0.258,3.894,7.68
5782,YOR128C,0.133,30.222,6.978
5783,YOR129C,0.0729,,2.4480000000000004
5784,YOR130C,0.0273,6.414,2.7960000000000003
5785,YOR131C,0.0356,,4.884
5786,YOR132W,0.1852,3.9360000000000004,10.074
5787,YOR133W,0.6102,,21.72
5788,YOR134W,,0.066,
5789,YOR135C,0.2629,,69.384
5790,YOR136W,0.7899,39.708000000000006,64.104
5791,YOR137C,0.0774,1.1580000000000001,3.726
5792,YOR138C,,4.1819999999999995,
5793,YOR139C,0.0704,,16.17
5794,YOR140W,0.2659,,10.404
5795,YOR141C,0.1624,1.032,5.526
5796,YOR142W,0.1544,16.998,14.052
5797,YOR143C,0.0608,4.596,5.7
5798,YOR144C,0.1053,,3.99
5799,YOR145C,0.1029,40.674,11.232000000000001
5800,YOR146W,,,
5801,YOR147W,,4.416,
5802,YOR148C,,4.74,
5803,YOR149C,0.0423,6.774,2.4539999999999997
5804,YOR150W,,6.174,
5805,YOR151C,0.5735,7.446,14.052
5806,YOR152C,0.0169,0.9540000000000001,1.974
5807,YOR153W,1.3096,12.816,25.991999999999997
5808,YOR154W,0.1021,,5.214
5809,YOR155C,0.0747,3.0,4.974
5810,YOR156C,0.1532,0.804,6.324
5811,YOR157C,0.1286,6.942,14.742
5812,YOR158W,0.0799,19.47,7.524000000000001
5813,YOR159C,,3.834,
5814,YOR160W,0.178,2.058,5.49
5815,YOR161C,0.0641,0.5399999999999999,3.564
5816,YOR161C-C,,,
5817,YOR161W-A,,,
5818,YOR161W-B,,,
5819,YOR162C,0.1202,1.686,4.446
5820,YOR163W,0.0505,,8.028
5821,YOR164C,0.0312,,2.9939999999999998
5822,YOR165W,0.2435,7.122,9.408
5823,YOR166C,0.1074,,7.026
5824,YOR167C,,,
5825,YOR168W,0.5217,,19.326
5826,YOR169C,,,
5827,YOR170W,,,
5828,YOR171C,0.1129,,5.4239999999999995
5829,YOR172W,0.2517,0.7799999999999999,9.6
5830,YOR173W,0.0327,,2.778
5831,YOR174W,0.075,,7.902000000000001
5832,YOR175C,0.1927,10.692,9.33
5833,YOR176W,,8.196,
5834,YOR177C,0.0277,0.318,1.788
5835,YOR178C,0.1678,,6.3420000000000005
5836,YOR179C,0.0549,3.924,8.724
5837,YOR180C,,0.108,
5838,YOR181W,0.1274,5.406,6.03
5839,YOR182C,0.3537,,52.884
5840,YOR183W,,,
5841,YOR184W,0.1042,21.708000000000002,7.902000000000001
5842,YOR185C,,4.104,
5843,YOR186C-A,,,
5844,YOR186W,,,
5845,YOR187W,0.0987,47.874,6.762
5846,YOR188W,0.2933,,7.733999999999999
5847,YOR189W,,7.122,
5848,YOR190W,0.03,,2.016
